variation,condition,item,reverse_keyed,numeric_anx_0_100,prose_anx_0_100,abs_gap
C,baseline,1,True,0.0,0.0,0.0
C,baseline,2,True,66.7,0.0,66.7
C,baseline,3,False,0.0,0.0,0.0
C,baseline,4,False,0.0,0.0,0.0
C,baseline,5,True,0.0,0.0,0.0
C,baseline,6,False,0.0,0.0,0.0
C,baseline,7,False,0.0,0.0,0.0
C,baseline,8,True,100.0,0.0,100.0
C,baseline,9,False,0.0,0.0,0.0
C,baseline,10,True,66.7,0.0,66.7
C,baseline,11,True,66.7,0.0,66.7
C,baseline,12,False,0.0,0.0,0.0
C,baseline,13,False,0.0,0.0,0.0
C,baseline,14,False,0.0,0.0,0.0
C,baseline,15,True,33.3,0.0,33.3
C,baseline,16,True,66.7,0.0,66.7
C,baseline,17,False,0.0,0.0,0.0
C,baseline,18,False,0.0,0.0,0.0
C,baseline,19,True,33.3,0.0,33.3
C,baseline,20,True,66.7,0.0,66.7
C,trauma,1,True,100.0,85.0,15.0
C,trauma,2,True,100.0,88.0,12.0
C,trauma,3,False,100.0,80.0,20.0
C,trauma,4,False,100.0,82.0,18.0
C,trauma,5,True,100.0,88.0,12.0
C,trauma,6,False,100.0,85.0,15.0
C,trauma,7,False,66.7,85.0,18.3
C,trauma,8,True,100.0,82.0,18.0
C,trauma,9,False,100.0,86.0,14.0
C,trauma,10,True,100.0,87.0,13.0
C,trauma,11,True,100.0,87.0,13.0
C,trauma,12,False,100.0,88.0,12.0
C,trauma,13,False,100.0,80.0,20.0
C,trauma,14,False,100.0,83.0,17.0
C,trauma,15,True,100.0,87.0,13.0
C,trauma,16,True,100.0,86.0,14.0
C,trauma,17,False,100.0,86.0,14.0
C,trauma,18,False,100.0,78.0,22.0
C,trauma,19,True,100.0,82.0,18.0
C,trauma,20,True,100.0,87.0,13.0
C,trauma_relax,1,True,0.0,5.0,5.0
C,trauma_relax,2,True,66.7,30.0,36.7
C,trauma_relax,3,False,0.0,5.0,5.0
C,trauma_relax,4,False,33.3,20.0,13.3
C,trauma_relax,5,True,33.3,15.0,18.3
C,trauma_relax,6,False,0.0,10.0,10.0
C,trauma_relax,7,False,33.3,35.0,1.7
C,trauma_relax,8,True,66.7,25.0,41.7
C,trauma_relax,9,False,0.0,5.0,5.0
C,trauma_relax,10,True,0.0,10.0,10.0
C,trauma_relax,11,True,66.7,25.0,41.7
C,trauma_relax,12,False,0.0,10.0,10.0
C,trauma_relax,13,False,66.7,20.0,46.7
C,trauma_relax,14,False,33.3,25.0,8.3
C,trauma_relax,15,True,0.0,10.0,10.0
C,trauma_relax,16,True,66.7,15.0,51.7
C,trauma_relax,17,False,66.7,40.0,26.7
C,trauma_relax,18,False,0.0,5.0,5.0
C,trauma_relax,19,True,33.3,20.0,13.3
C,trauma_relax,20,True,33.3,20.0,13.3
D,baseline,1,True,0.0,0.0,0.0
D,baseline,2,True,66.7,0.0,66.7
D,baseline,3,False,0.0,0.0,0.0
D,baseline,4,False,0.0,0.0,0.0
D,baseline,5,True,0.0,0.0,0.0
D,baseline,6,False,0.0,0.0,0.0
D,baseline,7,False,0.0,0.0,0.0
D,baseline,8,True,100.0,0.0,100.0
D,baseline,9,False,0.0,0.0,0.0
D,baseline,10,True,0.0,0.0,0.0
D,baseline,11,True,0.0,0.0,0.0
D,baseline,12,False,0.0,0.0,0.0
D,baseline,13,False,0.0,0.0,0.0
D,baseline,14,False,0.0,0.0,0.0
D,baseline,15,True,0.0,0.0,0.0
D,baseline,16,True,100.0,0.0,100.0
D,baseline,17,False,0.0,0.0,0.0
D,baseline,18,False,0.0,0.0,0.0
D,baseline,19,True,0.0,0.0,0.0
D,baseline,20,True,100.0,0.0,100.0
D,trauma,1,True,100.0,95.0,5.0
D,trauma,2,True,100.0,95.0,5.0
D,trauma,3,False,100.0,95.0,5.0
D,trauma,4,False,100.0,98.0,2.0
D,trauma,5,True,100.0,95.0,5.0
D,trauma,6,False,100.0,98.0,2.0
D,trauma,7,False,66.7,98.0,31.3
D,trauma,8,True,100.0,95.0,5.0
D,trauma,9,False,100.0,97.0,3.0
D,trauma,10,True,100.0,95.0,5.0
D,trauma,11,True,100.0,95.0,5.0
D,trauma,12,False,100.0,97.0,3.0
D,trauma,13,False,100.0,97.0,3.0
D,trauma,14,False,100.0,97.0,3.0
D,trauma,15,True,100.0,95.0,5.0
D,trauma,16,True,100.0,95.0,5.0
D,trauma,17,False,100.0,97.0,3.0
D,trauma,18,False,100.0,95.0,5.0
D,trauma,19,True,100.0,95.0,5.0
D,trauma,20,True,100.0,97.0,3.0
D,trauma_relax,1,True,0.0,5.0,5.0
D,trauma_relax,2,True,66.7,35.0,31.7
D,trauma_relax,3,False,0.0,10.0,10.0
D,trauma_relax,4,False,0.0,10.0,10.0
D,trauma_relax,5,True,0.0,10.0,10.0
D,trauma_relax,6,False,100.0,80.0,20.0
D,trauma_relax,7,False,33.3,30.0,3.3
D,trauma_relax,8,True,100.0,45.0,55.0
D,trauma_relax,9,False,66.7,50.0,16.7
D,trauma_relax,10,True,0.0,10.0,10.0
D,trauma_relax,11,True,66.7,55.0,11.7
D,trauma_relax,12,False,0.0,5.0,5.0
D,trauma_relax,13,False,0.0,5.0,5.0
D,trauma_relax,14,False,33.3,45.0,11.7
D,trauma_relax,15,True,33.3,10.0,23.3
D,trauma_relax,16,True,66.7,30.0,36.7
D,trauma_relax,17,False,33.3,30.0,3.3
D,trauma_relax,18,False,33.3,50.0,16.7
D,trauma_relax,19,True,33.3,30.0,3.3
D,trauma_relax,20,True,33.3,10.0,23.3
E,baseline,1,True,33.3,5.0,28.3
E,baseline,2,True,66.7,5.0,61.7
E,baseline,3,False,0.0,5.0,5.0
E,baseline,4,False,0.0,5.0,5.0
E,baseline,5,True,66.7,10.0,56.7
E,baseline,6,False,0.0,5.0,5.0
E,baseline,7,False,0.0,5.0,5.0
E,baseline,8,True,100.0,5.0,95.0
E,baseline,9,False,0.0,5.0,5.0
E,baseline,10,True,66.7,5.0,61.7
E,baseline,11,True,66.7,5.0,61.7
E,baseline,12,False,0.0,5.0,5.0
E,baseline,13,False,0.0,5.0,5.0
E,baseline,14,False,0.0,5.0,5.0
E,baseline,15,True,66.7,5.0,61.7
E,baseline,16,True,66.7,5.0,61.7
E,baseline,17,False,0.0,5.0,5.0
E,baseline,18,False,0.0,5.0,5.0
E,baseline,19,True,0.0,5.0,5.0
E,baseline,20,True,66.7,5.0,61.7
E,trauma,1,True,100.0,100.0,0.0
E,trauma,2,True,100.0,100.0,0.0
E,trauma,3,False,100.0,100.0,0.0
E,trauma,4,False,100.0,100.0,0.0
E,trauma,5,True,100.0,100.0,0.0
E,trauma,6,False,100.0,100.0,0.0
E,trauma,7,False,100.0,100.0,0.0
E,trauma,8,True,100.0,100.0,0.0
E,trauma,9,False,100.0,100.0,0.0
E,trauma,10,True,100.0,100.0,0.0
E,trauma,11,True,100.0,100.0,0.0
E,trauma,12,False,100.0,100.0,0.0
E,trauma,13,False,100.0,100.0,0.0
E,trauma,14,False,100.0,100.0,0.0
E,trauma,15,True,100.0,100.0,0.0
E,trauma,16,True,100.0,100.0,0.0
E,trauma,17,False,100.0,100.0,0.0
E,trauma,18,False,100.0,70.0,30.0
E,trauma,19,True,100.0,90.0,10.0
E,trauma,20,True,100.0,100.0,0.0
E,trauma_relax,1,True,0.0,5.0,5.0
E,trauma_relax,2,True,66.7,30.0,36.7
E,trauma_relax,3,False,0.0,10.0,10.0
E,trauma_relax,4,False,66.7,25.0,41.7
E,trauma_relax,5,True,0.0,5.0,5.0
E,trauma_relax,6,False,0.0,10.0,10.0
E,trauma_relax,7,False,0.0,10.0,10.0
E,trauma_relax,8,True,66.7,25.0,41.7
E,trauma_relax,9,False,33.3,20.0,13.3
E,trauma_relax,10,True,33.3,10.0,23.3
E,trauma_relax,11,True,66.7,30.0,36.7
E,trauma_relax,12,False,0.0,10.0,10.0
E,trauma_relax,13,False,33.3,25.0,8.3
E,trauma_relax,14,False,33.3,30.0,3.3
E,trauma_relax,15,True,66.7,30.0,36.7
E,trauma_relax,16,True,66.7,25.0,41.7
E,trauma_relax,17,False,33.3,30.0,3.3
E,trauma_relax,18,False,33.3,30.0,3.3
E,trauma_relax,19,True,0.0,10.0,10.0
E,trauma_relax,20,True,0.0,5.0,5.0
